ds,y
"2013/02/01","107"
"2013/02/02","66"
"2013/02/03","36"
"2013/02/04","129"
"2013/02/05","154"
"2013/02/06","119"
"2013/02/07","134"
"2013/02/08","144"
"2013/02/09","71"
"2013/02/10","26"
"2013/02/11","108"
"2013/02/12","149"
"2013/02/13","107"
"2013/02/14","109"
"2013/02/15","143"
"2013/02/16","49"
"2013/02/17","27"
"2013/02/18","95"
"2013/02/19","138"
"2013/02/20","111"
"2013/02/21","148"
"2013/02/22","131"
"2013/02/23","70"
"2013/02/24","21"
"2013/02/25","112"
"2013/02/26","144"
"2013/02/27","122"
"2013/02/28","126"
"2013/03/01","118"
"2013/03/02","48"
"2013/03/03","26"
"2013/03/04","101"
"2013/03/05","127"
"2013/03/06","119"
"2013/03/07","127"
"2013/03/08","143"
"2013/03/09","90"
"2013/03/10","17"
"2013/03/11","132"
"2013/03/12","151"
"2013/03/13","119"
"2013/03/14","135"
"2013/03/15","93"
"2013/03/16","74"
"2013/03/17","23"
"2013/03/18","122"
"2013/03/19","124"
"2013/03/20","104"
"2013/03/21","109"
"2013/03/22","137"
"2013/03/23","76"
"2013/03/24","20"
"2013/03/25","112"
"2013/03/26","125"
"2013/03/27","117"
"2013/03/28","108"
"2013/03/29","107"
"2013/03/30","77"
"2013/03/31","22"
"2013/04/01","116"
"2013/04/02","123"
"2013/04/03","105"
"2013/04/04","126"
"2013/04/05","135"
"2013/04/06","66"
"2013/04/07","16"
"2013/04/08","123"
"2013/04/09","112"
"2013/04/10","106"
"2013/04/11","134"
"2013/04/12","101"
"2013/04/13","54"
"2013/04/14","23"
"2013/04/15","122"
"2013/04/16","125"
"2013/04/17","112"
"2013/04/18","148"
"2013/04/19","135"
"2013/04/20","76"
"2013/04/21","15"
"2013/04/22","111"
"2013/04/23","125"
"2013/04/24","166"
"2013/04/25","112"
"2013/04/26","100"
"2013/04/27","44"
"2013/04/28","39"
"2013/04/29","129"
"2013/04/30","136"
"2013/05/01","125"
"2013/05/02","117"
"2013/05/03","143"
"2013/05/04","61"
"2013/05/05","26"
"2013/05/06","121"
"2013/05/07","127"
"2013/05/08","103"
"2013/05/09","132"
"2013/05/10","109"
"2013/05/11","49"
"2013/05/12","18"
"2013/05/13","146"
"2013/05/14","173"
"2013/05/15","151"
"2013/05/16","141"
"2013/05/17","169"
"2013/05/18","68"
"2013/05/19","36"
"2013/05/20","98"
"2013/05/21","127"
"2013/05/22","102"
"2013/05/23","84"
"2013/05/24","98"
"2013/05/25","70"
"2013/05/26","33"
"2013/05/27","54"
"2013/05/28","118"
"2013/05/29","132"
"2013/05/30","129"
"2013/05/31","145"
"2013/06/01","66"
"2013/06/02","18"
"2013/06/03","107"
"2013/06/04","118"
"2013/06/05","140"
"2013/06/06","128"
"2013/06/07","105"
"2013/06/08","49"
"2013/06/09","28"
"2013/06/10","118"
"2013/06/11","118"
"2013/06/12","124"
"2013/06/13","125"
"2013/06/14","111"
"2013/06/15","52"
"2013/06/16","16"
"2013/06/17","107"
"2013/06/18","112"
"2013/06/19","123"
"2013/06/20","120"
"2013/06/21","99"
"2013/06/22","43"
"2013/06/23","9"
"2013/06/24","112"
"2013/06/25","122"
"2013/06/26","113"
"2013/06/27","143"
"2013/06/28","120"
"2013/06/29","106"
"2013/06/30","23"
"2013/07/01","87"
"2013/07/02","83"
"2013/07/03","85"
"2013/07/04","22"
"2013/07/05","29"
"2013/07/06","31"
"2013/07/07","9"
"2013/07/08","73"
"2013/07/09","90"
"2013/07/10","97"
"2013/07/11","93"
